difficulty,class_name,class_label,level,win_rate,avg_rounds_to_kill,avg_rounds_all,avg_combo_len,max_combo_len,finisher_rate,avg_damage_per_attack,avg_end_hp_ratio,samples
elite,warrior,Warrior,1,0.07925,6.063091482649842,5.66525,1.0,1,0.0,50.44232395855361,0.00979482758620689,4000
elite,warrior,Warrior,2,0.67325,4.72929818046788,4.94175,1.602803482450857,2,0.0,96.89224114329518,0.1494798136645962,4000
elite,warrior,Warrior,3,0.81175,4.552510009239298,4.77425,2.011960535743813,3,0.0,123.45979165518382,0.23144209039548058,4000
elite,warrior,Warrior,4,0.89825,4.338435847481214,4.4955,2.3099492736914917,4,0.26475674429329027,161.73697256167858,0.31011447368421036,4000
elite,warrior,Warrior,5,0.901,4.395948945615983,4.558,2.5752825580734937,5,0.23331629465553472,186.40432782416084,0.3229672330097072,4000
elite,warrior,Warrior,6,0.93075,4.2863282299221055,4.41525,2.8315268065268064,6,0.2342074592074592,225.00681818181818,0.37396719457013605,4000
elite,warrior,Warrior,7,0.945,4.358730158730158,4.463,3.0948156682027648,7,0.25040322580645163,253.45236175115207,0.4062109704641355,4000
elite,warrior,Warrior,8,0.94425,4.329361927455652,4.442,3.2502604468109735,8,0.25587452251417986,290.1615927769418,0.4195140000000002,4000
elite,warrior,Warrior,9,0.954,4.361111111111111,4.45875,3.5481879039704523,9,0.27937442289935366,325.57358033240996,0.4405657894736819,4000
elite,warrior,Warrior,10,0.9795,4.180704441041348,4.229,3.9256769035071777,10,0.3038948452359319,388.28941789327035,0.5035398936170218,4000
elite,warrior,Warrior,11,0.98425,4.1153162306324615,4.1565,4.371727748691099,11,0.32411456729288574,439.18312288266094,0.5264974832214776,4000
elite,warrior,Warrior,12,0.98775,4.054416603391546,4.0855,4.678855425458644,12,0.33610919792123223,498.0321833322898,0.547583601286174,4000
elite,warrior,Warrior,13,0.99475,3.900477506911284,3.91425,5.399031223407738,13,0.36682594750278197,579.1656738888526,0.5887431192660513,4000
elite,warrior,Warrior,14,0.99775,3.560010022550739,3.5675,6.426334977482307,14,0.4086067624562156,717.4504253341911,0.6373134110787161,4000
elite,warrior,Warrior,15,0.999,3.2922922922922924,3.2955,7.69237347430615,15,0.45595895203296277,857.3031952110705,0.6805635474860396,4000
elite,warrior,Warrior,16,0.99925,3.2571928946710034,3.25975,7.970988285242551,16,0.45050711533925625,953.421574023115,0.6839555256064662,4000
elite,warrior,Warrior,17,1.0,3.38325,3.38325,8.064159794204434,17,0.44026632367405616,986.0780055988499,0.6883036175710592,4000
elite,warrior,Warrior,18,1.0,3.412,3.412,8.149509433962264,18,0.4300377358490566,1056.2270188679245,0.6907320099255564,4000
elite,warrior,Warrior,19,0.99925,3.51588691518639,3.51875,8.159962035482222,19,0.4206760604511937,1094.653062714463,0.6912273269689774,4000
elite,warrior,Warrior,20,0.9995,3.504752376188094,3.50675,8.400542760745196,20,0.41594543054129385,1187.791770573566,0.7011137931034489,4000
elite,assassin,Assassin,1,0.12575,5.318091451292246,5.0595,1.0,1,0.0,53.48903403643337,0.017362903225806418,4000
elite,assassin,Assassin,2,0.6985,4.283464566929134,4.44875,1.621957880682163,2,0.0,110.89615828124052,0.1088999999999998,4000
elite,assassin,Assassin,3,0.72975,4.134292565947242,4.2795,2.021120120686404,3,0.0,141.76749009994342,0.14312668918918867,4000
elite,assassin,Assassin,4,0.894,3.942393736017897,4.05225,2.4277057951395604,4,0.30226261844904273,188.24102365757753,0.27411737804878117,4000
elite,assassin,Assassin,5,0.90325,3.878494326044838,3.988,2.736921463222761,5,0.2770420873213583,225.1334731873607,0.3028678977272733,4000
elite,assassin,Assassin,6,0.91975,3.8567545528676273,3.9505,2.9321687541199735,6,0.25833882663150953,265.604021094265,0.3194494680851067,4000
