difficulty,class_name,class_label,level,win_rate,avg_rounds_to_kill,avg_rounds_all,avg_combo_len,max_combo_len,finisher_rate,avg_damage_per_attack,avg_end_hp_ratio,samples
elite,assassin,Assassin,9,0.9565,3.6027182435964455,3.6705,3.7624356170182742,9,0.30233542651520495,423.91385027869893,0.4195837053571401,4000
elite,assassin,Assassin,10,0.988,3.3714574898785425,3.39625,4.246234198773749,10,0.32722731057452126,528.9265006434032,0.5031437500000023,4000
elite,assassin,Assassin,11,0.9855,3.330542871638762,3.35875,4.585165887671443,11,0.34219600030648994,598.7939621484944,0.5067187500000015,4000
elite,assassin,Assassin,12,0.9935,3.1056869652742827,3.12025,5.30533157808129,12,0.38020404805002467,730.5857330919862,0.5793541666666683,4000
elite,assassin,Assassin,13,0.9975,2.8027568922305766,2.809,6.594513031550068,13,0.4457247370827618,926.5343392775492,0.6347418478260836,4000
elite,assassin,Assassin,14,0.9995,2.6975987993997,2.69875,7.362291169451074,14,0.4666348448687351,1063.6210978520287,0.6613437499999967,4000
elite,assassin,Assassin,15,0.99875,2.6748435544430538,2.67825,7.695392901798596,15,0.46378763104741755,1167.5883427911897,0.6653749999999966,4000
elite,assassin,Assassin,16,0.9995,2.711855927963982,2.713,7.84375,16,0.44918313069908816,1262.3841185410333,0.674194620253153,4000
elite,assassin,Assassin,17,0.99875,2.7456821026282854,2.7495,7.989245300663986,17,0.43738894603946504,1352.5779481904049,0.6712075617283969,4000
elite,assassin,Assassin,18,0.99875,2.7869837296620776,2.7905,8.195774517944459,18,0.43149737060614446,1422.6354829781344,0.6733602941176492,4000
elite,assassin,Assassin,19,0.9995,2.821910955477739,2.82325,8.215125284738042,19,0.4147608200455581,1499.6004555808656,0.6698366477272709,4000
elite,assassin,Assassin,20,0.99975,2.7966991747936985,2.7975,8.393167128347184,20,0.4183748845798707,1623.424838411819,0.6827829670329713,4000
elite,mage,Mage,1,0.02125,5.588235294117647,4.65025,1.0,1,0.0,45.148456137959236,0.0021379310344827587,4000
elite,mage,Mage,2,0.3125,4.2872,4.47725,1.6234110169491525,2,0.0,95.44630561440678,0.04070703125,4000
elite,mage,Mage,3,0.47375,4.118205804749341,4.3285,2.0909331044046753,3,0.0,130.38169451231593,0.08135892857142861,4000
elite,mage,Mage,4,0.73825,3.9014561462919066,4.07225,2.5337093563370936,4,0.34412740544127407,180.90039814200398,0.1695526315789473,4000
elite,mage,Mage,5,0.79225,3.8422215209845376,4.01325,2.899339162939724,5,0.32167412055270006,219.77050931179494,0.20613109756097447,4000
elite,mage,Mage,6,0.82875,3.7514328808446455,3.89975,3.2407130221798885,6,0.319499251598857,265.3637909919717,0.23716619318181922,4000
elite,mage,Mage,7,0.90775,3.6645552189479482,3.7845,3.605592195658148,7,0.3325776312173674,317.97320692497937,0.31772135416666625,4000
elite,mage,Mage,8,0.942,3.410828025477707,3.49725,4.250980392156863,8,0.38275989641139474,401.27118017018125,0.38567000000000207,4000
elite,mage,Mage,9,0.9745,3.2029245767060033,3.24575,5.0030163518018735,9,0.43229083981584376,496.70606445467536,0.46920138888889146,4000
elite,mage,Mage,10,0.98525,3.0243592996701345,3.05275,5.803152925307705,10,0.479345810150059,596.7561119541392,0.5107366071428642,4000
elite,mage,Mage,11,0.99425,2.7384963540357052,2.7515,6.91251871257485,11,0.5293787425149701,768.9400261976048,0.5873302083333326,4000
elite,mage,Mage,12,0.99725,2.661569315617949,2.66725,7.193900202683139,12,0.5179036772512305,890.8316764791043,0.6073214285714229,4000
elite,mage,Mage,13,0.9955,2.7014063284781518,2.71225,7.361573373676248,13,0.4920574886535552,960.9971633888049,0.5991605769230849,4000
elite,mage,Mage,14,0.997,2.7116349047141424,2.71975,7.540338598316467,14,0.47328099877045304,1048.813960087014,0.614596920289856,4000
elite,mage,Mage,15,0.99675,2.7037873087534487,2.712,7.868331118283653,15,0.4689576609075375,1146.2324852857414,0.6208307291666761,4000
elite,mage,Mage,16,0.99725,2.728252694911005,2.73525,7.901892477167875,16,0.4480745692495999,1244.4866773373506,0.6299483333333316,4000
elite,mage,Mage,17,0.99525,2.7724189902034664,2.785,7.986564121571535,17,0.4351371386212009,1326.0394736842106,0.6265200320512797,4000
elite,mage,Mage,18,0.9965,2.813095835423984,2.823,8.073206308688121,18,0.42319263378612454,1401.6443613820768,0.6267037037037037,4000
elite,mage,Mage,19,0.997,2.8014042126379137,2.80925,8.295538009548292,19,0.4205839147998531,1513.610998898274,0.6343452380952341,4000
elite,mage,Mage,20,0.9975,2.82531328320802,2.83225,8.27191787044608,20,0.41373671300081766,1611.1953302443899,0.6505525568181832,4000
elite,priest,Priest,1,0.0,,5.1465,1.0,1,0.0,31.836307729410347,0.0,4000
elite,priest,Priest,2,0.068,5.5661764705882355,5.39925,1.7018173659412161,2,0.0,74.2941440430783,0.008150000000000001,4000
elite,priest,Priest,3,0.1675,5.049253731343284,5.28475,2.282203055414623,3,0.0,97.4692485483962,0.024915605095541426,4000
elite,priest,Priest,4,0.571,4.53984238178634,4.9055,2.8288947694386577,4,0.46191092843871406,137.24193457575586,0.13017603550295856,4000
elite,priest,Priest,5,0.71975,4.208405696422369,4.52775,3.3807907586042636,5,0.45528164820769323,179.19477194236038,0.21306456043956015,4000
elite,priest,Priest,6,0.848,3.9722877358490565,4.18425,4.137101850686139,6,0.510386503839859,230.08328087624324,0.29912690355329846,4000
elite,priest,Priest,7,0.946,3.708509513742072,3.7975,5.025754281054635,7,0.5782141886382169,297.95182114705085,0.40087023809524175,4000
